Product,Price,Rating,No. of reviews,Link
"MCaffeine Naked & Raw Coffee Body Scrub, 100 g | Coconut | Tan Removal | Oily/Normal Skin | Paraben & SLS Free",359.00,4.6 out of 5 stars,102,https://www.amazon.in//MCaffeine-Coffee-Coconut-Removal-Paraben/dp/B07K4BFQK1?_encoding=UTF8&psc=1
"BEARDO Activated Charcoal Peel Off Mask, 100g (100gm)",297.00,3.2 out of 5 stars,402,https://www.amazon.in//BEARDO-Activated-Charcoal-Peel-Mask/dp/B07D5TJ5D2?_encoding=UTF8&psc=1
"Mamaearth 100 Percent Natural Berry Blast Kids Toothpaste, 50g",125.00,4.1 out of 5 stars,263,https://www.amazon.in//Mamaearth-Percent-Natural-Berry-Toothpaste/dp/B07BGT4J55?_encoding=UTF8&psc=1
"Organix Mantra Lavender Essential Oil Steam Distilled Natural, Pure And Organic (15Ml)",199.00,3.8 out of 5 stars,615,https://www.amazon.in//Organix-Mantra-Lavender-Essential-Distilled/dp/B01M06ICNA?_encoding=UTF8&psc=1
Wakefit Mattress Protectors,699.00 -    899.00,4.4 out of 5 stars,"1,659",https://www.amazon.in//Wakefit-Mattress-Protectors/dp/B07GCQR89Z
Fitness Mantra White Quinoa Seeds 1 kg,290.00,4.3 out of 5 stars,172,https://www.amazon.in//Fitness-Mantra-White-Quinoa-Seeds/dp/B07H1C3H9S?_encoding=UTF8&psc=1
Fitness Mantra Chia Seeds 250 gm,240.00,4.4 out of 5 stars,138,https://www.amazon.in//Fitness-Mantra-Chia-Seeds-250/dp/B07GZQG3V9?_encoding=UTF8&psc=1
Natural Peanut Butter Smooth 1Kg (Unsweetened),395.00,4.3 out of 5 stars,619,https://www.amazon.in//Alpino-Natural-Peanut-Butter-Unsweetened/dp/B0714D4Q9D?_encoding=UTF8&psc=1
IMPOWER Self Defence Pepper Spray for Woman safety | 55 ML,156.00,4.4 out of 5 stars,416,https://www.amazon.in//IMPOWER-Defence-Pepper-Spray-safety/dp/B075KK63FC?_encoding=UTF8&psc=1
"Leaf Sport Wireless Bluetooth Earphone with Mic and Sports Earhook, Bluetooth Headset with 6 Hours Battery Life(Black)",949.00,3.6 out of 5 stars,"1,102",https://www.amazon.in//Leaf-Sport-Wireless-Bluetooth-Earphone/dp/B07FSMFZP8?_encoding=UTF8&psc=1
"Mamaearth Bye Bye Blemishes For Pigmentation, Sun Damage & Spots Correction - 50 Ml",569.00,3.6 out of 5 stars,175,https://www.amazon.in//Mamaearth-Blemishes-Pigmentation-Damage-Correction/dp/B07LB2DQBB?_encoding=UTF8&psc=1
Sirona Reusable Menstrual Cup For Women Large (Age OVER 25 YEARS+),298.00,4.1 out of 5 stars,362,https://www.amazon.in//Sirona-Approved-Reusable-Menstrual-Silicone/dp/B07548ND5J?_encoding=UTF8&psc=1
"BEARDO Ultraglow Face Lotion For Men, 100g",187.00,3.3 out of 5 stars,335,https://www.amazon.in//BEARDO-Ultraglow-Face-Lotion-100g/dp/B01CYGHLFY?_encoding=UTF8&psc=1
"Mamaearth Gentle Cleansing Shampoo for babies (200 ml, 0-5 Yrs)",169.00,4.2 out of 5 stars,340,https://www.amazon.in//Mamaearth-Gentle-Cleansing-Shampoo-babies/dp/B01NBEF38B?_encoding=UTF8&psc=1
