Product,Price,Rating,No. of reviews,Link
"Himalaya Herbals Purifying Neem Face Wash, 200ml",156.00,4.3 out of 5 stars,"3,155",https://www.amazon.in//Himalaya-Neem-Face-Wash-200ml/dp/B006G83ZXO?_encoding=UTF8&psc=1
"WOW Coconut & Avocado Oil No Parabens & Sulphate Hair Conditioner, 300mL",319.00,4.1 out of 5 stars,"2,544",https://www.amazon.in//WOW-science-conditioner-organic-coconut/dp/B01ND1R7Y0?_encoding=UTF8&psc=1
"Indulekha Bringha Anti Hair Fall Shampoo, 200ml",206.00,3.9 out of 5 stars,780,https://www.amazon.in//Indulekha-Bringha-Anti-Shampoo-200ml/dp/B076PV19DW?_encoding=UTF8&psc=1
"Maybelline New York White Super Fresh Compact, Pearl, 8g",106.00,4.0 out of 5 stars,"2,196",https://www.amazon.in//Maybelline-White-Super-Fresh-Compact/dp/B014W08DBQ?_encoding=UTF8&psc=1
"Head & Shoulders Smooth And Silky Shampoo, 675ml",301.00,3.7 out of 5 stars,"1,253",https://www.amazon.in//Head-Shoulders-Smooth-Silky-Shampoo/dp/B00JS3PICK?_encoding=UTF8&psc=1
Urbangabru Hair Wax Zero To Infinity For Strong Hold And Volume 100 Grams,280.00,4.3 out of 5 stars,"2,419",https://www.amazon.in//UrbanGabru-Zero-Infinity-Hair-Strong/dp/B073XQ8QXK?_encoding=UTF8&psc=1
"Set Wet Deodorant Spray Perfume, 150ml (Cool, Charm and Chill Avatar, Pack of 3)",313.00,4.0 out of 5 stars,582,https://www.amazon.in//Set-Wet-Deodorant-Perfume-Avatar/dp/B079Q17Z29?_encoding=UTF8&psc=1
"NIVEA Body Lotion, Express Hydration With Sea Minerals, 400ml",217.00,4.3 out of 5 stars,654,https://www.amazon.in//Nivea-Express-Hydration-Lotion-400ml/dp/B006LX9WCM?_encoding=UTF8&psc=1
"Indus Valley Bio Organic Non-Toxic Aloe Vera Gel for Acne, Scars, Glowing & Radiant Skin Treatment-175ml",184.00,4.3 out of 5 stars,889,https://www.amazon.in//Indus-Valley-Organic-Non-Toxic-Treatment-175ml/dp/B075HVLCB8?_encoding=UTF8&psc=1
"Lotus Herbals Safe Sun 3-In-1 Matte Look Daily Sunblock, SPF 40, 100g",296.00,4.0 out of 5 stars,"1,843",https://www.amazon.in//Lotus-Herbals-Matte-Daily-Sunblock/dp/B008TO8UMY?_encoding=UTF8&psc=1
"Liril Lemon and Tea Tree Oil Body Wash, 250 ml",130.00,4.8 out of 5 stars,91,https://www.amazon.in//Liril-Lemon-Tree-Body-Wash/dp/B07NDS9Z83?_encoding=UTF8&psc=1
"TRESemme Keratin Smooth Shampoo, 580ml",301.00,4.0 out of 5 stars,460,https://www.amazon.in//TRESemme-Keratin-Smooth-Shampoo-580ml/dp/B07FHD9Y8M?_encoding=UTF8&psc=1
"Khadi Mauri Herbals Amla and Bhringraj Herbal Shampoo, 210ml",150.00,3.8 out of 5 stars,859,https://www.amazon.in//Khadi-Mauri-Herbals-Bhringraj-Shampoo/dp/B06XZB5GKL?_encoding=UTF8&psc=1
"Garnier Acno Fight Face Wash for Men, 100 gm",150.00,4.2 out of 5 stars,"1,562",https://www.amazon.in//Garnier-Acno-Fight-Face-Wash/dp/B007921JYI?_encoding=UTF8&psc=1
"Dove Go Fresh Nourishing Body Wash, 190ml",Rs. 99.00,4.8 out of 5 stars,7,https://www.amazon.in//Dove-Fresh-Nourishing-Body-190ml/dp/B07FKTHP7J?_encoding=UTF8&psc=1
"Parachute Advansed Aloe Vera Enriched Coconut Hair Oil, 250ml (Free 75ml)",102.00,4.2 out of 5 stars,284,https://www.amazon.in//Parachute-Advansed-Enriched-Coconut-250ml/dp/B07DD2RZS4?_encoding=UTF8&psc=1
"Streax Pro Hair Serum Vita Gloss, 100ml",155.00,3.8 out of 5 stars,"1,548",https://www.amazon.in//Streax-Hair-Serum-Gloss-100ml/dp/B00JHN0OMU?_encoding=UTF8&psc=1
"Pears Soft and Fresh Shower Gel, 250ml",135.00,4.9 out of 5 stars,201,https://www.amazon.in//Pears-Soft-Fresh-Shower-250ml/dp/B07FKM5LZT?_encoding=UTF8&psc=1
"Fogg Royal Body Spray For Men, 150ml",160.00,3.7 out of 5 stars,561,https://www.amazon.in//Fogg-Sprays-Royal-Spray-150ml/dp/B00YEJZVRU?_encoding=UTF8&psc=1
"Beardhood Charcoal Peel-Off Mask, 100g",240.00,4.1 out of 5 stars,"2,377",https://www.amazon.in//Beardhood-Charcoal-Peel-Mask-Black/dp/B07BH645KX?_encoding=UTF8&psc=1
"Biotique Bio Kelp Fresh Growth Protein Shampoo, 400ml",224.00,3.6 out of 5 stars,671,https://www.amazon.in//Biotique-Fresh-Growth-Protein-Shampoo/dp/B00FXM1HV6?_encoding=UTF8&psc=1
"NIVEA Body Lotion, Extra Whitening Cell Repair (SPF 15), 400ml",351.00,4.0 out of 5 stars,908,https://www.amazon.in//Nivea-Extra-Whitening-Repair-Lotion/dp/B019XY4FOU?_encoding=UTF8&psc=1
"Clinic Plus Strong and Long Health Shampoo, 650ml",195.00,3.6 out of 5 stars,685,https://www.amazon.in//Clinic-Plus-Strong-Health-Shampoo/dp/B00K811MOO?_encoding=UTF8&psc=1
