Product,Price,Rating,No. of reviews,Link
"Yonex Muscle Power 29 Lite Badminton Racquet, 3U-G4","1,969.00 -    4,450.00",4.0 out of 5 stars,"1,232",https://www.amazon.in//Yonex-Muscle-Power-Badminton-Racquet/dp/B00PY39JPA
Strauss Spider Shaker Bottle 500ml,299.00 -    315.00,3.9 out of 5 stars,330,https://www.amazon.in//Strauss-Spider-Shaker-Bottle-500ml/dp/B071WKBXDF
"Narains Packaging Textured Pattern Soft Comfort Fitness Exercise Anti Skid, Non Slip Yoga Thick Mat for Men & Women with Bag",380.00 -    799.00,4.0 out of 5 stars,473,https://www.amazon.in//Narains-Packaging-Free-Textured-Pattern/dp/B077N9VSDC
Fitkit Premium Bottle Shaker 500ml,259.00 -    599.00,4.3 out of 5 stars,786,https://www.amazon.in//Fitkit-Premium-Bottle-Shaker-500ml/dp/B07DY7RVBH
HOPEBERRY Yoga Mat Anti Skid Yogamat for Gym Workout and Flooring Exercise - Long Size Yoga Mate for Men Women,419.00 -    449.00,3.6 out of 5 stars,16,https://www.amazon.in//HOPEBERRY-Yogamat-Workout-Flooring-Exercise/dp/B07JRG4W8X
"Saundarya Slimming Belt Waist Shaper for Men & Women (Size M, L, XL, XXL, 3XL & 4XL)",499.00,3.7 out of 5 stars,548,https://www.amazon.in//Saundarya-Slimming-Waist-Shaper-Women/dp/B07B3NGMJX
Strauss Adjustable Hand Grip Strengthener,269.00 -    290.00,4.4 out of 5 stars,310,https://www.amazon.in//Strauss-Adjustable-Hand-Grip-Strengthener/dp/B07FH9QRRK
Quechua Arpenaz Hiking Backpack,"299.00 -    3,299.00",3.8 out of 5 stars,85,https://www.amazon.in//Quechua-Arpenaz-Hiking-Backpack/dp/B01MR2IKXF
Yonex Mavis 10  Nylon 6 Shuttlecocks,460.00 -    850.00,4.1 out of 5 stars,"1,302",https://www.amazon.in//Yonex-Mavis-10-Nylon-Shuttlecocks/dp/B01M7PER1O
Strauss Adjustable Knee Support Patella,299.00 -    599.00,3.5 out of 5 stars,635,https://www.amazon.in//Strauss-Adjustable-Knee-Support-Patella/dp/B07FLF58Y8
EasyHealth™ Double Spring Tummy Trimmer-Abs Exerciser-Waist Trimmer-Total Body Workout for Men and Women,499.00,3.5 out of 5 stars,129,https://www.amazon.in//EasyHealthTM-Trimmer-Abs-Exerciser-Waist-Trimmer-Total-Workout/dp/B01E4TXD3I?_encoding=UTF8&psc=1
Nivia Plain Encounter Stockings,95.00 -    150.00,3.8 out of 5 stars,72,https://www.amazon.in//Nivia-Plain-Encounter-Stockings/dp/B079SFMKHY
"Nivia Wrist Support, Pack of 2 (Black)",233.00,4.2 out of 5 stars,113,https://www.amazon.in//Nivia-Wrist-Support-Pack-Black/dp/B016B7MU8K?_encoding=UTF8&psc=1
HOLME'S M3 Intelligence Bluetooth Health Wrist Smart Band Watch Monitor/Smart Bracelet/Health Bracelet/Smart Watch for Mens/Activity Tracke/Bracelet Watch for Men/Smart Fitness Band,548.00,3.7 out of 5 stars,453,https://www.amazon.in//HOLMES-Intelligence-Bluetooth-Bracelet-Activity/dp/B07KW47HK6?_encoding=UTF8&psc=1
"Yonex Nanoray Light 9i Graphite Badminton Racquet (Black, 77 Grams)","1,590.00",4.1 out of 5 stars,97,https://www.amazon.in//Yonex-Nanoray-9i-Graphite-Badminton/dp/B01NATV79L?_encoding=UTF8&psc=1
Yoga Mat by Quick Store for Men|Mats for Women Non Slip & Smell Free|Stay FIT and Healthy,399.00 -    880.00,5.0 out of 5 stars,1,https://www.amazon.in//Quick-Store-Women-Smell-Healthy/dp/B07PZ1777Y
KS HEALTHCARE Tummy Trimmer Single Spring Tummy Trimmer Waist Trimmer for Men and Women (Multicolour),249.00,5.0 out of 5 stars,1,https://www.amazon.in//KS-HEALTHCARE-Trimmer-Single-Multicolour/dp/B07NC76LQV?_encoding=UTF8&psc=1
Kobo WTA-04 Power Cotton Gym Support with Thumb Support Grip Gloves (Black),310.00,4.6 out of 5 stars,611,https://www.amazon.in//Kobo-WTA-04-Cotton-Support-Gloves/dp/B010WTTOI2?_encoding=UTF8&psc=1
Starford Smart Activity Tracker Watch Waterproof M2 Wristband with Connected GPS Tracker Step Counter Sleep Monitor Stopwatch Heart Rate Fitness Tracker for Android iOS Smart Phone,479.00,5.0 out of 5 stars,1,https://www.amazon.in//Starford-Activity-Tracker-Waterproof-Wristband/dp/B07P9PGWD7?_encoding=UTF8&psc=1
SPORTLAND Adjustable Skipping Rope for Gym Training and Workout,249.00 -    279.00,4.6 out of 5 stars,282,https://www.amazon.in//SPORTLAND-Adjustable-Skipping-Training-Workout/dp/B07MKMQXJF
Silver's SB 503 Badminton Racquet Combo,431.00,3.4 out of 5 stars,"1,181",https://www.amazon.in//Silvers-SB-503-Badminton-Racquet/dp/B00W6ZUMW8?_encoding=UTF8&psc=1
