Product,Price,Rating,No. of reviews,Link
Vaamsi Crepe Digital Printed Kurti(VPK1500_Orange_Free Size),299.00,3.7 out of 5 stars,214,https://www.amazon.in//Vaamsi-Crepe-Digital-Printed-VPK1500_Orange_Free/dp/B07GJN34W3
Jockey Women's Cotton Racerback Tank Top,145.00 -    399.00,4.4 out of 5 stars,457,https://www.amazon.in//Jockey-Womens-Cotton-Racerback-Tank/dp/B01BSVLCFG
AWG - All Weather Gear Men's Polyester Dry Fit Round Neck T-Shirt - Pack of 4,499.00,2.8 out of 5 stars,164,https://www.amazon.in//AWG-Weather-Polyester-Round-T-Shirt/dp/B07B2X7TFK
"Krystle Prime Men's and Women's Cotton UV and Dust/Pollution Protection, Hand Socks with Finger Arm Sleeves (Skin, Free Size)",199.00,4.2 out of 5 stars,29,https://www.amazon.in//Krystle-UV-Protection-Pollution-Protection-Sleeves/dp/B07G7RY73K?_encoding=UTF8&psc=1
Maniac Men's Cotton T-Shirt (Mens-Ss18-Rn-Fs-Checked-Tshirt),442.00 -    470.00,3.2 out of 5 stars,709,https://www.amazon.in//Maniac-Mens-Cotton-T-Shirt-Mens-Ss18-Rn-Fs-Checked-Tshirt/dp/B07B12257V
Jockey Men's Brief (Pack of 3),315.00 -    599.00,4.1 out of 5 stars,569,https://www.amazon.in//Jockey-Mens-Brief-Pack-3/dp/B07L46QMTF
Indira Designer Women's Art Mysore Silk Saree With Blouse Piece (Star-Red),357.00 -    449.00,3.4 out of 5 stars,317,https://www.amazon.in//Indira-Designer-Womens-Mysore-Star-Red/dp/B07DNCYXQK
IndoPrimo Men's Cotton Casual Shirt for Men Full Sleeves,699.00,3.0 out of 5 stars,109,https://www.amazon.in//IndoPrimo-Cotton-Casual-Shirt-Sleeves/dp/B07H4GC7HK
Jockey Men's Cotton Trunks (Elastane Color May Vary),189.00 -    270.00,3.4 out of 5 stars,350,https://www.amazon.in//Jockey-Cotton-Trunks-Elastane-Color/dp/B00X3QPF6W
SHVAS Cotton Baseball Adjustable EDIKO Cap for Men/Women Unisex Baseball Cap [EDIKOBLACKSPO],299.00,3.6 out of 5 stars,43,https://www.amazon.in//SHVAS-Cotton-Baseball-Adjustable-EDIKOBLACKSPO/dp/B07L5HSWZK?_encoding=UTF8&psc=1
"NAVYSPORT Men's Cotton Athletic Socks, Pack of 3",299.00,4.0 out of 5 stars,710,https://www.amazon.in//NAVYSPORT-Mens-Cotton-Athletic-Socks/dp/B07HKH6K95
Scott International Men's Cotton Polo T-Shirt,465.00 -    599.00,3.8 out of 5 stars,153,https://www.amazon.in//Scott-International-Mens-Cotton-T-Shirt/dp/B079FRF725
Jockey Men's Cotton Tank Top,279.00 -    599.00,4.4 out of 5 stars,446,https://www.amazon.in//Jockey-Mens-Cotton-Tank-Top/dp/B01EUZJQYQ
Rupa Jon Men's Cotton Vest (Pack of 5),214.00 -    410.00,4.0 out of 5 stars,550,https://www.amazon.in//Rupa-Jon-Mens-Cotton-Vest/dp/B01N5V5BJJ
"COSTRO Men's Cotton Socks - Combo of 6 Pairs (Black, White and Grey)",260.00,3.3 out of 5 stars,52,https://www.amazon.in//Costro-branded-socks-combo-pairs/dp/B079VTVNP4?_encoding=UTF8&psc=1
TUCUTE Top and Dhoti Style Bottom Night Suit/Nighty/Nightdress/Night Gown for Women and Girls Size: L/XL/XXL,450.00 -    499.00,4.0 out of 5 stars,132,https://www.amazon.in//TUCUTE-Dhoti-Bottom-Nighty-Nightdress/dp/B07H4RDZZX
VIMAL Navy Blue Printed Round Neck Tshirt for Men,242.00,3.7 out of 5 stars,80,https://www.amazon.in//VIMAL-Navy-Printed-Round-Tshirt/dp/B079RKQGGN
Euro Men's Cotton Brief (Pack of 5) (Colors May Vary),334.00 -    550.00,4.0 out of 5 stars,520,https://www.amazon.in//Euro-Mens-Cotton-Brief-Colors/dp/B01N16SXC2
