Product,Price,Rating,No. of reviews,Link
"Purastep Silicone Gel Heel Pad Socks for Pain Relief for Men and Women (Beige, Free Size) - 1 Pair",189.00,3.9 out of 5 stars,"1,318",https://www.amazon.in//Purastep-Silicone-Socks-Relief-Women/dp/B07911VD1J?_encoding=UTF8&psc=1
Whisper Ultra Soft Sanitary Pads - 50 Pieces (XL),298.00,4.3 out of 5 stars,159,https://www.amazon.in//Whisper-Ultra-Soft-Sanitary-Pads/dp/B07HS3WP4D?_encoding=UTF8&psc=1
VWash Plus Intimate Hygiene Wash - 200 ml,193.00,3.9 out of 5 stars,893,https://www.amazon.in//VWash-Plus-Intimate-Hygiene-Wash/dp/B00S6KDGNE?_encoding=UTF8&psc=1
Bombay Shaving Company Beard Growth Oil For Men- 30ml,240.00,4.2 out of 5 stars,176,https://www.amazon.in//Bombay-Shaving-Company-Beard-Growth/dp/B07H83VQ4Z?_encoding=UTF8&psc=1
"Comfort After Wash Morning Fresh Fabric Conditioner, 1.6 L",313.00,4.1 out of 5 stars,860,https://www.amazon.in//Comfort-After-Morning-Fabric-Conditioner/dp/B074NCKKR9?_encoding=UTF8&psc=1
Gillette Classic Sensitive Skin Pre Shave Foam - 418 g (33% extra),169.00,4.2 out of 5 stars,"1,630",https://www.amazon.in//Gillette-Sensitive-Skin-Shave-Foam/dp/B00G4UDYEE?_encoding=UTF8&psc=1
Amazon Brand - Solimo 2 Ply Kitchen Towel Paper Roll - 4 Rolls (168 gm/roll),199.00,4.2 out of 5 stars,757,https://www.amazon.in//Amazon-Brand-Solimo-Kitchen-Towel/dp/B01N596489?_encoding=UTF8&psc=1
Ariel Matic Liquid Detergent - 2 l,318.00,3.8 out of 5 stars,202,https://www.amazon.in//Ariel-Liquid-2L-Matic-Detergent/dp/B07JCB4DBJ?_encoding=UTF8&psc=1
"Vim Dishwash Gel, Lemon, 750 ml",129.00,4.4 out of 5 stars,619,https://www.amazon.in//Vim-Dishwash-Gel-Lemon-750/dp/B00M99II36?_encoding=UTF8&psc=1
Health Sense PS 126 Ultra-Lite Personal Scale (Grey),"1,399.00",4.1 out of 5 stars,"9,030",https://www.amazon.in//Health-Sense-Ultra-Lite-Personal-Scale/dp/B00LO2R0UG?_encoding=UTF8&psc=1
