Product,Price,Rating,No. of reviews,Link
"Wipro Garnet 20-Watt Slim LED Batten (Pack of 1, Cool Day Light/White, Rectangular)",216.00,4.0 out of 5 stars,315,https://www.amazon.in//Wipro-Garnet-20-Watt-Batten-Rectangular/dp/B0788C3CJR?_encoding=UTF8&psc=1
Oddy Uniwraps Baking and Cooking Paper,155.00 -    500.00,4.6 out of 5 stars,"1,249",https://www.amazon.in//Oddy-Uniwraps-Baking-Cooking-Paper/dp/B07FB8HKDS
"Prestige Iris(750 Watt) Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar,White and Blue","2,829.00",3.3 out of 5 stars,"2,635",https://www.amazon.in//Prestige-Iris-Grinder-Stainless-Juicer/dp/B0756K5DYZ?_encoding=UTF8&psc=1
MESCADA Multi Electric Mini 4 in 1 Desktop Functional Household Sewing Machine for Home,979.00,4.6 out of 5 stars,290,https://www.amazon.in//MESCADA-Electric-Desktop-Functional-Household/dp/B07NDFJ1F4?_encoding=UTF8&psc=1
Pigeon Favourite Aluminum Induction Base Pressure Cooker with Inner Lid,"599.00 -    1,398.00",3.4 out of 5 stars,352,https://www.amazon.in//Pigeon-Favourite-Aluminum-Induction-Pressure/dp/B07JBM7C5Y
Decals Design 6996 StickersKart Wall Stickers Pink Flamingos & Bamboo at Sunset (Wall Covering Area: 150cm x 125cm (Multicolor),129.00,4.5 out of 5 stars,"1,055",https://www.amazon.in//Decals-Design-Flamingos-Sticker-Multicolour/dp/B019T1F79O?_encoding=UTF8&psc=1
"Ahmedabad Cotton 144 TC Cotton Bedsheet with 2 Pillow Covers - Yellow, Grey",429.00 -    999.00,3.8 out of 5 stars,644,https://www.amazon.in//Ahmedabad-Cotton-Bedsheet-Pillow-Covers/dp/B07CN4D4ZM
Kuber Industries Non Woven Saree Cover Set,269.00 -    599.00,3.8 out of 5 stars,510,https://www.amazon.in//Kuber-Industries-Woven-Saree-Cover/dp/B07G717SS9
Floraware Plastic Fruit and Vegetable Juicer with Vacuum Locking System,339.00 -    495.00,3.6 out of 5 stars,483,https://www.amazon.in//Floraware-Plastic-Vegetable-Juicer-Locking/dp/B07F822H7X
Lifelong Power Pro 500-Watt Mixer Grinder with 3 Jars,"1,199.00 -    2,398.00",3.7 out of 5 stars,"6,675",https://www.amazon.in//Lifelong-Power-500-Watt-Mixer-Grinder/dp/B07C8J46V8
"Recron Fiber Dream Pillow - 40 x 61 cm, White, 2 Piece",429.00,3.4 out of 5 stars,"3,547",https://www.amazon.in//Recron-Fiber-Dream-Pillow-White/dp/B016D7UJMW?_encoding=UTF8&psc=1
Philips Viva Collection HD4928/01 2100-Watt Induction Cooktop (Black),"2,399.00",3.9 out of 5 stars,"4,159",https://www.amazon.in//Philips-Collection-HD4928-01-2100-Watt/dp/B00EDJJ7FS?_encoding=UTF8&psc=1
Kent Instant Egg Boiler 360-Watt (Transparent and Silver Grey),950.00,4.4 out of 5 stars,986,https://www.amazon.in//Kent-Instant-Boiler-360-Watt-Transparent/dp/B0791GQRPF?_encoding=UTF8&psc=1
"Decals Design 'Jungle Cartoon Cute Animals' Wall Sticker (PVC Vinyl, 60 cm x 90 cm, Multicolour)",199.00,4.4 out of 5 stars,"1,686",https://www.amazon.in//Decals-Design-Cartoon-Animals-Multicolour/dp/B00OPYNS88?_encoding=UTF8&psc=1
"Cello Crystal PET Bottle Set, 1 Litre, Set of 6",154.00 -    299.00,3.6 out of 5 stars,297,https://www.amazon.in//Cello-Crystal-PET-Bottle-Litre/dp/B01N8STMUN
Milton Lunch Box for Office Executive Lunch,220.00 -    440.00,4.1 out of 5 stars,962,https://www.amazon.in//Milton-Lunch-Box-Office-Executive/dp/B01MR8MX69
Milton Lunch Box for office Executive Lunch,249.00 -    440.00,4.0 out of 5 stars,465,https://www.amazon.in//Milton-Lunch-Box-office-Executive/dp/B072X86ZWP
Bajaj GX-1 500-Watt Mixer Grinder with 3 Jar,"1,799.00",3.7 out of 5 stars,989,https://www.amazon.in//Bajaj-GX-1-500-Watt-Mixer-Grinder/dp/B00BMP97OC?_encoding=UTF8&psc=1
Wonderchef 400 Watt Nutri-Blend Mixer Grinder,"2,224.00 -    13,545.00",3.8 out of 5 stars,"3,952",https://www.amazon.in//Wonderchef-Watt-Nutri-Blend-Mixer-Grinder/dp/B01N33R64P
KEMPHO Plastic Portable USB Electric Blender Juice Cup (Multicolour),Rs. 619.50,4.4 out of 5 stars,38,https://www.amazon.in//KEMPHO-Plastic-Portable-Electric-Multicolour/dp/B07P6QQP4D?_encoding=UTF8&psc=1
Decals Design StickersKart Wall Stickers Nursery Colourful Bird House on a Branch (Multicolor),125.00,4.5 out of 5 stars,"2,373",https://www.amazon.in//Decals-Design-Branch-Sticker-Multicolour/dp/B019T1E47A?_encoding=UTF8&psc=1
